fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
2,hard,METER-SCD,42,0.6287069341571649,0.6927829799026832,0.06407604574551828
2,hard,METER-SCD,123,0.6330848804870682,0.6960092138367996,0.06292433334973135
2,hard,METER-SCD,456,0.6438462472735011,0.679480513780017,0.0356342665065158
2,hard,METER-SCD,789,0.6432958037814263,0.6884623394111404,0.04516653562971418
2,hard,METER-SCD,1024,0.6346760133368035,0.6923808768763107,0.05770486353950721
2,medium,METER-SCD,42,0.7778348017457417,0.8386958867084255,0.06086108496268383
2,medium,METER-SCD,123,0.7883109003145068,0.8431318006303308,0.054820900315823984
2,medium,METER-SCD,456,0.7901471752257782,0.8302367302430083,0.040089555017230105
2,medium,METER-SCD,789,0.8046442875907731,0.8352174677806697,0.03057318018989663
2,medium,METER-SCD,1024,0.7863624069646965,0.8358176345982851,0.04945522763358856
3,easy,METER-SCD,42,0.9005973370997749,0.9341634774764243,0.0335661403766494
3,easy,METER-SCD,123,0.9061383938567962,0.9363621800434473,0.030223786186651114
3,easy,METER-SCD,456,0.9184171687818546,0.9398063091577752,0.021389140375920546
3,easy,METER-SCD,789,0.9076518015840019,0.9390823421603348,0.03143054057633288
3,easy,METER-SCD,1024,0.9024777013653646,0.9307049040417755,0.02822720267641088
3,hard,METER-SCD,42,0.6237006950788387,0.6877537196166061,0.0640530245377674
3,hard,METER-SCD,123,0.6231467191984246,0.6934351315971383,0.07028841239871375
3,hard,METER-SCD,456,0.6327936792481372,0.68397259649955,0.05117891725141277
3,hard,METER-SCD,789,0.6277213984783215,0.6917249864348809,0.06400358795655936
3,hard,METER-SCD,1024,0.6280779898555695,0.689519863078736,0.06144187322316652
3,medium,METER-SCD,42,0.7713906468108872,0.8311626851003213,0.059772038289434115
3,medium,METER-SCD,123,0.7720061164745453,0.8396296080939354,0.06762349161939007
3,medium,METER-SCD,456,0.7935248945121746,0.8400052989364919,0.046480404424317334
3,medium,METER-SCD,789,0.7799493677839426,0.8382815171231826,0.058332149339239914
3,medium,METER-SCD,1024,0.7775926844637824,0.8304127765356053,0.05282009207182292
4,easy,METER-SCD,42,0.8906210661387006,0.9278829478570951,0.03726188171839451
4,easy,METER-SCD,123,0.8913514198152906,0.9350109635581036,0.043659543742813
4,easy,METER-SCD,456,0.906769301393454,0.9285479378665996,0.021778636473145596
4,easy,METER-SCD,789,0.9170164551579476,0.9342074199532728,0.017190964795325225
4,easy,METER-SCD,1024,0.88333901569898,0.9231841028457617,0.0398450871467817
4,hard,METER-SCD,42,0.6241137546185889,0.6846843799844345,0.060570625365845676
4,hard,METER-SCD,123,0.6249503293318718,0.6864707417674558,0.06152041243558404
4,hard,METER-SCD,456,0.6309321858949545,0.6739144236027579,0.042982237707803406
4,hard,METER-SCD,789,0.634182546277626,0.6800450219957608,0.04586247571813473
4,hard,METER-SCD,1024,0.6260664936017859,0.6816613884491566,0.05559489484737068
4,medium,METER-SCD,42,0.7587463204046279,0.8266515095074104,0.06790518910278254
4,medium,METER-SCD,123,0.7617865369958456,0.832749516210181,0.07096297921433536
4,medium,METER-SCD,456,0.7831851929204132,0.8239462777071045,0.04076108478669127
4,medium,METER-SCD,789,0.7836348958549986,0.824067596467371,0.040432700612372474
4,medium,METER-SCD,1024,0.755582741332312,0.8222699896596981,0.06668724832738615
0,easy,sklearn_IF,42,0.9123594709391127,0.9250504182807622,0.012690947341649439
0,easy,sklearn_IF,123,0.9077562571483275,0.9419363141533736,0.034180057005046116
0,easy,sklearn_IF,456,0.9129039779657937,0.938186132423393,0.025282154457599293
0,easy,sklearn_IF,789,0.91177264643404,0.9349468899011226,0.023174243467082634
0,easy,sklearn_IF,1024,0.8968233991516439,0.9358241388693226,0.0390007397176787
0,hard,sklearn_IF,42,0.6483267722876142,0.6967198487042858,0.048393076416671676
0,hard,sklearn_IF,123,0.6428814935234889,0.7110724179840793,0.06819092446059039
0,hard,sklearn_IF,456,0.6355367481911852,0.6984615317647647,0.06292478357357945
0,hard,sklearn_IF,789,0.6321102886220042,0.7061349308827864,0.0740246422607822
0,hard,sklearn_IF,1024,0.6457267344468905,0.7059371782383741,0.06021044379148355
0,medium,sklearn_IF,42,0.7991033919910476,0.8366320470283741,0.0375286550373265
0,medium,sklearn_IF,123,0.7960568203376852,0.8541191137168831,0.05806229337919788
0,medium,sklearn_IF,456,0.7878879137285583,0.8420520087446585,0.0541640950161002
0,medium,sklearn_IF,789,0.7907923819850216,0.8456654366063269,0.05487305462130532
0,medium,sklearn_IF,1024,0.7888357184491199,0.8463150400629054,0.05747932161378544
1,easy,sklearn_IF,42,0.8916839825807825,0.9199289922692457,0.02824500968846322
1,easy,sklearn_IF,123,0.9205217200912241,0.9231463612813517,0.002624641190127619
1,easy,sklearn_IF,456,0.9138494275745805,0.9221305947068914,0.008281167132310863
1,easy,sklearn_IF,789,0.9007180255717898,0.93290818865281,0.032190163081020184
