fold,difficulty,budget_pct,algorithm,seed,AUC_PR
3,easy,0.1,sHST-River,789,0.5238095238095238
3,easy,0.1,sHST-River,1024,0.5238108844314914
3,easy,0.25,sHST-River,42,0.5238095238095238
3,easy,0.25,sHST-River,123,0.5238102041010696
3,easy,0.25,sHST-River,456,0.5238095238095238
3,easy,0.25,sHST-River,789,0.5238095238095238
3,easy,0.25,sHST-River,1024,0.5238108844314914
3,hard,0.01,sHST-River,42,0.5238095238095238
3,hard,0.01,sHST-River,123,0.523311336192508
3,hard,0.01,sHST-River,456,0.5238095238095238
3,hard,0.01,sHST-River,789,0.5238095238095238
3,hard,0.01,sHST-River,1024,0.5202189828312277
3,hard,0.05,sHST-River,42,0.5238095238095238
3,hard,0.05,sHST-River,123,0.523311336192508
3,hard,0.05,sHST-River,456,0.5238095238095238
3,hard,0.05,sHST-River,789,0.5238095238095238
3,hard,0.05,sHST-River,1024,0.5202189828312277
3,hard,0.1,sHST-River,42,0.5238095238095238
3,hard,0.1,sHST-River,123,0.523311336192508
3,hard,0.1,sHST-River,456,0.5238095238095238
3,hard,0.1,sHST-River,789,0.5238095238095238
3,hard,0.1,sHST-River,1024,0.5202189828312277
3,hard,0.25,sHST-River,42,0.5238095238095238
3,hard,0.25,sHST-River,123,0.523311336192508
3,hard,0.25,sHST-River,456,0.5238095238095238
3,hard,0.25,sHST-River,789,0.5238095238095238
3,hard,0.25,sHST-River,1024,0.5202189828312277
3,medium,0.01,sHST-River,42,0.5238095238095238
3,medium,0.01,sHST-River,123,0.5238102041010696
3,medium,0.01,sHST-River,456,0.5238095238095238
3,medium,0.01,sHST-River,789,0.5238095238095238
3,medium,0.01,sHST-River,1024,0.523411789784968
3,medium,0.05,sHST-River,42,0.5238095238095238
3,medium,0.05,sHST-River,123,0.5238102041010696
3,medium,0.05,sHST-River,456,0.5238095238095238
3,medium,0.05,sHST-River,789,0.5238095238095238
3,medium,0.05,sHST-River,1024,0.523411789784968
3,medium,0.1,sHST-River,42,0.5238095238095238
3,medium,0.1,sHST-River,123,0.5238102041010696
3,medium,0.1,sHST-River,456,0.5238095238095238
3,medium,0.1,sHST-River,789,0.5238095238095238
3,medium,0.1,sHST-River,1024,0.523411789784968
3,medium,0.25,sHST-River,42,0.5238095238095238
3,medium,0.25,sHST-River,123,0.5238102041010696
3,medium,0.25,sHST-River,456,0.5238095238095238
3,medium,0.25,sHST-River,789,0.5238095238095238
3,medium,0.25,sHST-River,1024,0.523411789784968
4,easy,0.01,sHST-River,42,0.5238095238095238
4,easy,0.01,sHST-River,123,0.5238095238095238
4,easy,0.01,sHST-River,456,0.5238095238095238
4,easy,0.01,sHST-River,789,0.5238095238095238
4,easy,0.01,sHST-River,1024,0.5238099773329016
4,easy,0.05,sHST-River,42,0.5238095238095238
4,easy,0.05,sHST-River,123,0.5238095238095238
4,easy,0.05,sHST-River,456,0.5238095238095238
4,easy,0.05,sHST-River,789,0.5238095238095238
4,easy,0.05,sHST-River,1024,0.5238099773329016
4,easy,0.1,sHST-River,42,0.5238095238095238
4,easy,0.1,sHST-River,123,0.5238095238095238
4,easy,0.1,sHST-River,456,0.5238095238095238
4,easy,0.1,sHST-River,789,0.5238095238095238
4,easy,0.1,sHST-River,1024,0.5238099773329016
4,easy,0.25,sHST-River,42,0.5238095238095238
4,easy,0.25,sHST-River,123,0.5238095238095238
4,easy,0.25,sHST-River,456,0.5238095238095238
4,easy,0.25,sHST-River,789,0.5238095238095238
4,easy,0.25,sHST-River,1024,0.5238099773329016
4,hard,0.01,sHST-River,42,0.5238095238095238
4,hard,0.01,sHST-River,123,0.5229115611270081
4,hard,0.01,sHST-River,456,0.5238095238095238
4,hard,0.01,sHST-River,789,0.5238095238095238
4,hard,0.01,sHST-River,1024,0.5228122397661774
4,hard,0.05,sHST-River,42,0.5238095238095238
4,hard,0.05,sHST-River,123,0.5229115611270081
4,hard,0.05,sHST-River,456,0.5238095238095238
4,hard,0.05,sHST-River,789,0.5238095238095238
4,hard,0.05,sHST-River,1024,0.5228122397661774
4,hard,0.1,sHST-River,42,0.5238095238095238
4,hard,0.1,sHST-River,123,0.5229115611270081
4,hard,0.1,sHST-River,456,0.5238095238095238
4,hard,0.1,sHST-River,789,0.5238095238095238
4,hard,0.1,sHST-River,1024,0.5228122397661774
4,hard,0.25,sHST-River,42,0.5238095238095238
4,hard,0.25,sHST-River,123,0.5229115611270081
