AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,sHST-River,123,,0,56.52173913043478
0.1676717682426842,0.6154891333333332,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,medium,sHST-River,123,,500,0.033534353648536845
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,sHST-River,456,,0,56.52173913043478
0.164326794569684,0.6124750333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,medium,sHST-River,456,,500,0.0328653589139368
0.13892130757379184,0.5227694,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,MemStream,42,,0,13.892130757379185
0.10229969938219782,0.41129146666666666,0.17709158089205596,0.11039815728858177,0.44733333333333336,0.5407,671,5407,4593,829,0.0,0.0,500,0.13043478260869565,1,2,medium,MemStream,42,,500,0.020459939876439563
0.13892130757379184,0.5227694,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,MemStream,123,,0,13.892130757379185
0.10225245825052756,0.41152286666666665,0.17550857598723574,0.1096163428001993,0.44,0.5361,660,5361,4639,840,0.0,0.0,500,0.13043478260869565,1,2,medium,MemStream,123,,500,0.020450491650105512
0.13892130757379184,0.5227694,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,MemStream,456,,0,13.892130757379185
0.10190898955222544,0.40896960000000004,0.17675513138972415,0.10993657505285412,0.45066666666666666,0.5473,676,5473,4527,824,0.0,0.0,500,0.13043478260869565,1,2,medium,MemStream,456,,500,0.020381797910445087
