AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget
0.2533467254700483,0.9132083,0.204660587639311,0.2073921971252566,0.202,0.0386,101,386,9614,399,0.0,0.0,100,0.0476190476190476,1,2,easy,sHST-River,1000,,100
0.21793610540183,0.8966698,0.1577060931899641,0.1958456973293768,0.132,0.0271,66,271,9729,434,0.0,0.0,500,0.0476190476190476,1,2,easy,sHST-River,1000,,500
0.2219873635268109,0.9041869,0.1379310344827586,0.1794871794871795,0.112,0.0256,56,256,9744,444,0.0,0.0,1000,0.0476190476190476,1,2,easy,sHST-River,1000,,1000
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,0,0.0476190476190476,1,2,easy,MemStream,42,,0
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,100,0.0476190476190476,1,2,easy,MemStream,42,,100
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,500,0.0476190476190476,1,2,easy,MemStream,42,,500
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,1000,0.0476190476190476,1,2,easy,MemStream,42,,1000
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,0,0.0476190476190476,1,2,easy,MemStream,123,,0
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,100,0.0476190476190476,1,2,easy,MemStream,123,,100
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,500,0.0476190476190476,1,2,easy,MemStream,123,,500
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,1000,0.0476190476190476,1,2,easy,MemStream,123,,1000
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,0,0.0476190476190476,1,2,easy,MemStream,456,,0
0.9999718588132548,0.9999986,0.7304601899196493,0.5753739930955121,1.0,0.0369,500,369,9631,0,0.0,0.0,100,0.0476190476190476,1,2,easy,MemStream,456,,100
