difficulty,algo,seed,label_budget,elapsed_s,AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,labels_consumed,anomaly_rate,auc_pr_pre_drift,auc_pr_post_drift,drift_detected_at,drift_point
poisoned,FullMemStream,789,0,3.325292699999409,0.14577917808799326,0.7290992000000001,0.18275418275418276,0.2563176895306859,0.142,0.0206,71,206,9794,429,0,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,789,0,20.682273000013083,0.13752180233972827,0.6987812,0.17246175243393602,0.2831050228310502,0.124,0.0157,62,157,9843,438,0,0.047619047619047616,,,,
poisoned,FullMemStream,789,100,3.0955858000088483,0.14545759999252014,0.7176174,0.18503401360544217,0.28936170212765955,0.136,0.0167,68,167,9833,432,100,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,789,100,19.27720009998302,0.13752180233972827,0.6987812,0.17246175243393602,0.2831050228310502,0.124,0.0157,62,157,9843,438,100,0.047619047619047616,,,,
poisoned,FullMemStream,789,500,3.5129657999787014,0.1322743272359433,0.6048924000000001,0.1339712918660287,0.33070866141732286,0.084,0.0085,42,85,9915,458,500,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,789,500,21.55857350002043,0.13752180233972827,0.6987812,0.17246175243393602,0.2831050228310502,0.124,0.0157,62,157,9843,438,500,0.047619047619047616,,,,
poisoned,FullMemStream,1000,0,2.8165023000037763,0.16289829064827654,0.7224808,0.20027063599458728,0.30962343096234307,0.148,0.0165,74,165,9835,426,0,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,1000,0,18.619012800016208,0.13909313583547395,0.6867022,0.1825726141078838,0.29596412556053814,0.132,0.0157,66,157,9843,434,0,0.047619047619047616,,,,
poisoned,FullMemStream,1000,100,3.285485999978846,0.15832133960292594,0.6267987999999999,0.2059238363892807,0.3492822966507177,0.146,0.0136,73,136,9864,427,100,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,1000,100,18.867710699996678,0.13909313583547395,0.6867022,0.1825726141078838,0.29596412556053814,0.132,0.0157,66,157,9843,434,100,0.047619047619047616,,,,
poisoned,FullMemStream,1000,500,3.687050599983195,0.12650229618447548,0.6040142000000001,0.1186161449752883,0.3364485981308411,0.072,0.0071,36,71,9929,464,500,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,1000,500,18.812128999998095,0.13909313583547395,0.6867022,0.1825726141078838,0.29596412556053814,0.132,0.0157,66,157,9843,434,500,0.047619047619047616,,,,
shifted,FullMemStream,42,0,2.5343442000157665,0.18177202846874735,0.8425866000000001,0.16535433070866143,0.24045801526717558,0.126,0.0199,63,199,9801,437,0,0.047619047619047616,,,,
shifted,SimplifiedMemStream,42,0,18.723057399998652,0.17605337152869777,0.8244182000000001,0.13352272727272727,0.23039215686274508,0.094,0.0157,47,157,9843,453,0,0.047619047619047616,,,,
shifted,FullMemStream,42,100,2.7789457000035327,0.20621675769448058,0.8680056,0.1440922190201729,0.25773195876288657,0.1,0.0144,50,144,9856,450,100,0.047619047619047616,,,,
shifted,SimplifiedMemStream,42,100,19.09913710001274,0.17605337152869777,0.8244182000000001,0.13352272727272727,0.23039215686274508,0.094,0.0157,47,157,9843,453,100,0.047619047619047616,,,,
shifted,FullMemStream,42,500,3.721213299984811,0.2467265188884286,0.9056403999999999,0.05235602094240838,0.2054794520547945,0.03,0.0058,15,58,9942,485,500,0.047619047619047616,,,,
