fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
5,hard,CA-DIF-EIA,42,0.6295627055868971,0.6674846720513552,0.03792196646445811
5,hard,CA-DIF-EIA,123,0.6183362318679528,0.6808546570807691,0.06251842521281625
5,hard,CA-DIF-EIA,456,0.6380872219710616,0.6727813184528241,0.03469409648176247
5,hard,CA-DIF-EIA,789,0.6083711956480944,0.6883568773938957,0.07998568174580134
5,hard,CA-DIF-EIA,1024,0.6236822565165823,0.6679582695933115,0.04427601307672924
5,medium,CA-DIF-EIA,42,0.7631857652261346,0.7925976158453549,0.02941185061922036
5,medium,CA-DIF-EIA,123,0.7592002090313119,0.8184258388742219,0.05922562984291002
5,medium,CA-DIF-EIA,456,0.7689136301269157,0.8098210485121401,0.04090741838522438
5,medium,CA-DIF-EIA,789,0.7464105982020752,0.8271096622825428,0.08069906408046756
5,medium,CA-DIF-EIA,1024,0.7679863060451824,0.8189065213517043,0.05092021530652191
6,easy,CA-DIF-EIA,42,0.8899350947294595,0.9229748834336613,0.03303978870420177
6,easy,CA-DIF-EIA,123,0.9091382619492737,0.918833931528115,0.00969566957884127
6,easy,CA-DIF-EIA,456,0.9031633392221152,0.9224950130925581,0.019331673870442878
6,easy,CA-DIF-EIA,789,0.8869630984014213,0.9248345830205701,0.0378714846191488
6,easy,CA-DIF-EIA,1024,0.89001471059404,0.9364575155251086,0.04644280493106856
6,hard,CA-DIF-EIA,42,0.6261554581105858,0.6771774702796743,0.051022012169088526
6,hard,CA-DIF-EIA,123,0.6053726407814697,0.6583091035896232,0.05293646280815356
6,hard,CA-DIF-EIA,456,0.6206124140697509,0.6623241892455803,0.04171177517582947
6,hard,CA-DIF-EIA,789,0.5972086757272113,0.6782668289136783,0.08105815318646703
6,hard,CA-DIF-EIA,1024,0.6137141743808627,0.660418541731314,0.04670436735045125
6,medium,CA-DIF-EIA,42,0.7489488005131704,0.8174818078205506,0.06853300730738021
6,medium,CA-DIF-EIA,123,0.7649621510052391,0.801281491200696,0.036319340195456906
6,medium,CA-DIF-EIA,456,0.7658383805536555,0.8140102493118037,0.04817186875814816
6,medium,CA-DIF-EIA,789,0.7512912870424635,0.8175338635444458,0.06624257650198229
6,medium,CA-DIF-EIA,1024,0.761865117996262,0.828738768160927,0.06687365016466496
7,easy,CA-DIF-EIA,42,0.903286254510276,0.9283363427581091,0.025050088247833058
7,easy,CA-DIF-EIA,123,0.911989863931489,0.9302789865330077,0.018289122601518715
7,easy,CA-DIF-EIA,456,0.916385932858721,0.9219272388032572,0.005541305944536168
7,easy,CA-DIF-EIA,789,0.8901360355112028,0.9403900990307533,0.05025406351955053
7,easy,CA-DIF-EIA,1024,0.9008710532144201,0.9280882927811377,0.02721723956671762
7,hard,CA-DIF-EIA,42,0.624299682419343,0.6773855935073134,0.05308591108797045
7,hard,CA-DIF-EIA,123,0.5960213651536134,0.6814708033966619,0.08544943824304851
7,hard,CA-DIF-EIA,456,0.6211307746867831,0.6525639619149923,0.0314331872282092
