AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,score_ms,drift_count,update_count,BAR,label_budget,label_fraction,algorithm,fraud_type,fold,month,seed
0.06731991271679803,0.5309667454403912,0.08350444900752907,0.08133333333333333,0.08579465541490858,0.04821890965078032,61,689,13600,650,7232.218265533447,0,0,0.06731991271679803,0,0.0,CA-MemStream,canary_only,1,1,123
0.06120655330989089,0.4991833734781085,0.07939767282683094,0.07733333333333334,0.08157524613220815,0.04842886136188677,58,692,13597,653,7685.672044754028,28,28,0.06120655330989089,0,0.0,CA-MemStream-EIA,canary_only,1,1,123
1.0,1.0,1.0,1.0,1.0,0.0,711,0,14289,0,0.0,0,0,1.0,0,0.0,Canary-Rules,canary_only,1,1,123
0.046489953399363515,0.49690638663655884,0.041067761806981525,0.04,0.04219409282700422,0.050388410665546925,30,720,13569,681,30.300617218017578,0,0,0.046489953399363515,0,0.0,Random,canary_only,1,1,123
0.06677715086724699,0.5585007251461989,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.047719298245614036,70,680,13570,680,6950.419187545776,0,0,0.06677715086724699,0,0.0,MemStream,type1_only,1,1,123
0.06675495251735815,0.5575780584795322,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.047719298245614036,70,680,13570,680,7525.675058364868,0,0,0.06675495251735815,0,0.0,CA-MemStream,type1_only,1,1,123
0.09808049650620344,0.6759084444444444,0.12266666666666666,0.12266666666666666,0.12266666666666666,0.04617543859649123,92,658,13592,658,8983.049869537354,28,28,0.09808049650620344,0,0.0,CA-MemStream-EIA,type1_only,1,1,123
,0.4750526315789474,0.0,0.0,0.0,0.04989473684210526,0,711,13539,750,0.0,0,0,,0,0.0,Canary-Rules,type1_only,1,1,123
0.05055884815064579,0.48644828070175433,0.058666666666666666,0.058666666666666666,0.058666666666666666,0.04954385964912281,44,706,13544,706,29.599905014038086,0,0,0.05055884815064579,0,0.0,Random,type1_only,1,1,123
0.04816454254206258,0.49943939181286556,0.018666666666666668,0.018666666666666668,0.018666666666666668,0.05164912280701754,14,736,13514,736,5903.1195640563965,0,0,0.04816454254206258,0,0.0,MemStream,type2_only,1,1,123
0.048176139256508585,0.49952472514619883,0.018666666666666668,0.018666666666666668,0.018666666666666668,0.05164912280701754,14,736,13514,736,6936.054229736328,0,0,0.048176139256508585,0,0.0,CA-MemStream,type2_only,1,1,123
0.07339733109551058,0.6349192514619884,0.04533333333333334,0.04533333333333334,0.04533333333333334,0.05024561403508772,34,716,13534,716,8957.545518875122,28,28,0.07339733109551058,0,0.0,CA-MemStream-EIA,type2_only,1,1,123
,0.4750526315789474,0.0,0.0,0.0,0.04989473684210526,0,711,13539,750,0.0,0,0,,0,0.0,Canary-Rules,type2_only,1,1,123
0.05249559669934982,0.5126229707602339,0.048,0.048,0.048,0.050105263157894736,36,714,13536,714,41.09072685241699,0,0,0.05249559669934982,0,0.0,Random,type2_only,1,1,123
0.05503764885141132,0.5429685614035087,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.0503859649122807,32,718,13532,718,5792.897701263428,0,0,0.05503764885141132,0,0.0,MemStream,type3_only,1,1,123
0.05503087583014242,0.5426415438596491,0.042666666666666665,0.042666666666666665,0.042666666666666665,0.0503859649122807,32,718,13532,718,8008.046865463257,0,0,0.05503087583014242,0,0.0,CA-MemStream,type3_only,1,1,123
