fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies,params,label,group
1,medium,42,MemStream_,0.9682851594588238,0.17016856969640998,0.25884016973125884,0.183,0.4420289855072464,7.234129416942605,0.5371000152081251,15275.141499994788,414,"{'bufsz': 200, 'memsz': 500, 'k': 10}",MS_b200_m500_k10,MemStream_
1,medium,42,MemStream_,0.9670185944325043,0.15553036471028378,0.23903818953323905,0.169,0.4082125603864734,7.959234433174157,0.3428000200074166,15209.639300010167,414,"{'bufsz': 200, 'memsz': 500, 'k': 20}",MS_b200_m500_k20,MemStream_
1,medium,42,MemStream_,0.9745817501648703,0.19284370786799837,0.28995756718529,0.205,0.49516908212560384,6.1315431976318395,0.6405999884009361,37276.90140000777,414,"{'bufsz': 200, 'memsz': 1000, 'k': 5}",MS_b200_m1000_k5,MemStream_
1,medium,42,MemStream_,0.9715754425670801,0.18064665409184474,0.2758132956152758,0.195,0.47101449275362317,6.620013713836679,0.592500000493601,36553.55030001374,414,"{'bufsz': 200, 'memsz': 1000, 'k': 10}",MS_b200_m1000_k10,MemStream_
1,medium,42,MemStream_,0.9695942400285499,0.16714353703947743,0.25176803394625175,0.178,0.42995169082125606,7.234781467914582,0.3935999993700534,36572.154900000896,414,"{'bufsz': 200, 'memsz': 1000, 'k': 20}",MS_b200_m1000_k20,MemStream_
1,medium,42,MemStream_,0.955482807140249,0.14768238691315572,0.2347949080622348,0.166,0.40096618357487923,7.842180078029639,0.6323999841697514,5887.454500014428,414,"{'bufsz': 500, 'memsz': 200, 'k': 5}",MS_b500_m200_k5,MemStream_
1,medium,42,MemStream_,0.9548708822431515,0.13933515431798577,0.21782178217821782,0.154,0.3719806763285024,8.457669625282305,0.19959997734986246,6257.751999975881,414,"{'bufsz': 500, 'memsz': 200, 'k': 10}",MS_b500_m200_k10,MemStream_
1,medium,42,MemStream_,0.9516850242320444,0.12342549642947347,0.2079207920792079,0.147,0.35507246376811596,9.464609479904178,0.09330001194030046,5908.225299994228,414,"{'bufsz': 500, 'memsz': 200, 'k': 20}",MS_b500_m200_k20,MemStream_
1,medium,42,MemStream_,0.970328531751547,0.18224836263531435,0.272984441301273,0.193,0.46618357487922707,6.635426013469735,1.3001000043004751,17200.780800019857,414,"{'bufsz': 500, 'memsz': 500, 'k': 5}",MS_b500_m500_k5,MemStream_
1,medium,42,MemStream_,0.9682851594588238,0.17016856969640998,0.25884016973125884,0.183,0.4420289855072464,7.234129416942605,0.40380001883022487,16524.108000012347,414,"{'bufsz': 500, 'memsz': 500, 'k': 10}",MS_b500_m500_k10,MemStream_
1,medium,42,MemStream_,0.9670185944325043,0.15553036471028378,0.23903818953323905,0.169,0.4082125603864734,7.959234433174157,0.19180000526830554,15438.622699992266,414,"{'bufsz': 500, 'memsz': 500, 'k': 20}",MS_b500_m500_k20,MemStream_
1,medium,42,MemStream_,0.9745817501648703,0.19284370786799837,0.28995756718529,0.205,0.49516908212560384,6.1315431976318395,2.9270999948494136,30416.343599994434,414,"{'bufsz': 500, 'memsz': 1000, 'k': 5}",MS_b500_m1000_k5,MemStream_
1,medium,42,MemStream_,0.9715754425670801,0.18064665409184474,0.2758132956152758,0.195,0.47101449275362317,6.620013713836679,0.3968999953940511,33165.063499996904,414,"{'bufsz': 500, 'memsz': 1000, 'k': 10}",MS_b500_m1000_k10,MemStream_
1,medium,42,MemStream_,0.9695942400285499,0.16714353703947743,0.25176803394625175,0.178,0.42995169082125606,7.234781467914582,4.562099988106638,32606.236299994634,414,"{'bufsz': 500, 'memsz': 1000, 'k': 20}",MS_b500_m1000_k20,MemStream_
1,medium,42,MemStream_,0.955482807140249,0.14768238691315572,0.2347949080622348,0.166,0.40096618357487923,7.842180078029639,0.149200001033023,4926.067199994577,414,"{'bufsz': 1000, 'memsz': 200, 'k': 5}",MS_b1000_m200_k5,MemStream_
1,medium,42,MemStream_,0.9548708822431515,0.13933515431798577,0.21782178217821782,0.154,0.3719806763285024,8.457669625282305,0.09469999349676073,5020.8081000018865,414,"{'bufsz': 1000, 'memsz': 200, 'k': 10}",MS_b1000_m200_k10,MemStream_
1,medium,42,MemStream_,0.9516850242320444,0.12342549642947347,0.2079207920792079,0.147,0.35507246376811596,9.464609479904178,0.08510000770911574,5624.463399988599,414,"{'bufsz': 1000, 'memsz': 200, 'k': 20}",MS_b1000_m200_k20,MemStream_
1,medium,42,MemStream_,0.970328531751547,0.18224836263531435,0.272984441301273,0.193,0.46618357487922707,6.635426013469735,0.3409000055398792,14666.99100000551,414,"{'bufsz': 1000, 'memsz': 500, 'k': 5}",MS_b1000_m500_k5,MemStream_
1,medium,42,MemStream_,0.9682851594588238,0.17016856969640998,0.25884016973125884,0.183,0.4420289855072464,7.234129416942605,0.3380000125616789,15499.973499972839,414,"{'bufsz': 1000, 'memsz': 500, 'k': 10}",MS_b1000_m500_k10,MemStream_
1,medium,42,MemStream_,0.9670185944325043,0.15553036471028378,0.23903818953323905,0.169,0.4082125603864734,7.959234433174157,0.3567000094335526,11855.49479999463,414,"{'bufsz': 1000, 'memsz': 500, 'k': 20}",MS_b1000_m500_k20,MemStream_
