fold,difficulty,seed,label,group,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
6,hard,42,IF_n200,sklearn_IF,0.9587637687404262,0.07061276413353526,0.15835777126099707,0.108,0.2967032967032967,0.5941233380680959,5570.247499999823,0.2423000114504248,364
6,hard,42,IF_n200_mf50,sklearn_IF,0.955065471906122,0.07921877692675755,0.17008797653958943,0.116,0.31868131868131866,0.5870548177488207,7801.284300017869,0.31030000536702573,364
6,hard,42,Ens_MS5_HBOS10,Ensemble,0.8373947314882317,0.02125137090658677,0.07038123167155426,0.048,0.13186813186813187,0.2594446124918407,3140.588599984767,0.28249999741092324,364
6,hard,42,Ens_MS5_HBOS20,Ensemble,0.8122910758019155,0.02175503878695608,0.08211143695014662,0.056,0.15384615384615385,0.2527023572689011,2938.1507000070997,0.40809999336488545,364
6,hard,42,Ens_MS5_HBOS10_2_1,Ensemble,0.8520324297914512,0.024730822550822106,0.07624633431085044,0.052,0.14285714285714285,0.18895892279265725,3147.7582000079565,0.33500001882202923,364
6,hard,42,Ens_MS3algo,Ensemble,0.9204706962275737,0.037232201463319715,0.10263929618768329,0.07,0.19230769230769232,0.34624483147481155,9955.021699977806,0.2693000133149326,364
6,hard,42,Ens_MS5_HBOS10_IF200,Ensemble,0.9164558617563087,0.03940990435869267,0.10997067448680352,0.075,0.20604395604395603,0.34140831180786385,11171.133000025293,0.3201999934390187,364
7,easy,42,MS_k3,MemStream_,0.9868612188526972,0.4479365272183328,0.38583815028901736,0.267,0.6953125,8.331833662986764,2940.2386999863666,0.3074000123888254,384
7,easy,42,MS_k5,MemStream_,0.9864199092987703,0.44599619891723213,0.38439306358381503,0.266,0.6927083333333334,8.835471372604381,2807.1618999820203,0.31969998963177204,384
7,easy,42,MS_k7,MemStream_,0.9857189345209468,0.4433155658142755,0.3815028901734104,0.264,0.6875,9.173258118629466,2946.4487000077497,0.2930999908130616,384
7,easy,42,MS_k10,MemStream_,0.9846398313929411,0.44023486322838823,0.3786127167630058,0.262,0.6822916666666666,9.550662808418306,2812.7320000203326,0.37689998862333596,384
7,easy,42,MS_k20,MemStream_,0.9817801807073748,0.4359816706090149,0.37283236994219654,0.258,0.671875,10.249044413566596,2828.321400011191,0.34320002305321395,384
7,easy,42,MS_k5_diverse,MemStream_,0.9808434603292489,0.4494178455602577,0.3872832369942196,0.268,0.6979166666666666,8.532409214973452,19341.549099975964,0.36020000698044896,384
7,easy,42,MS_k5_kmeans,MemStream_,0.9852985570837676,0.45171207585855394,0.3872832369942196,0.268,0.6979166666666666,8.467872056961083,3022.0712999871466,0.3567999810911715,384
7,easy,42,MS_k5_m500,MemStream_,0.987011507406721,0.4540080478400286,0.38872832369942195,0.269,0.7005208333333334,8.17725574970248,7229.766799981007,0.3541999903973192,384
7,easy,42,MS_k5_wt,MemStream_,0.986570856669806,0.44733165135108344,0.38583815028901736,0.267,0.6953125,8.664987192153948,2896.870900003705,0.687899999320507,384
7,easy,42,HBOS_b5,HBOS,0.939567948325368,0.28290011297156487,0.23265895953757226,0.161,0.4192708333333333,1.7219140794394487,137.12120000855066,0.28059998294338584,384
7,easy,42,HBOS_b10,HBOS,0.9398225582702121,0.25988877246002995,0.3236994219653179,0.224,0.5833333333333334,2.2579106897849734,145.6610000168439,0.3212000010535121,384
7,easy,42,HBOS_b20,HBOS,0.9455006411789804,0.30767089832888855,0.3236994219653179,0.224,0.5833333333333334,2.7439762200027538,139.02889998280443,0.3167999966535717,384
7,easy,42,HBOS_b50,HBOS,0.956740705174769,0.3792804301315282,0.34104046242774566,0.236,0.6145833333333334,3.3560813582951394,166.36150001431815,0.3479000006336719,384
7,easy,42,HBOS_b100,HBOS,0.9708709080810155,0.40857829932428036,0.37283236994219654,0.258,0.671875,3.7985146192329187,174.82049998943694,0.3039000148419291,384
7,easy,42,IF_n100,sklearn_IF,0.9820214055778762,0.4477983750245487,0.3988439306358382,0.276,0.71875,0.6046579196771369,2788.1837000022642,0.24880000273697078,384
7,easy,42,IF_n200,sklearn_IF,0.9840861902769984,0.45382008834482607,0.4046242774566474,0.28,0.7291666666666666,0.6020915161966498,5371.03829998523,0.2437000221107155,384
7,easy,42,IF_n200_mf50,sklearn_IF,0.9858925491109598,0.46262145423127793,0.4046242774566474,0.28,0.7291666666666666,0.596581721614693,7576.841600006446,0.2730000123847276,384
7,easy,42,Ens_MS5_HBOS10,Ensemble,0.9453655445538768,0.3236962575581556,0.3468208092485549,0.24,0.625,0.2679795901194491,2972.0369999995455,0.39900001138448715,384
7,easy,42,Ens_MS5_HBOS20,Ensemble,0.9499233841475634,0.37174608513242097,0.3453757225433526,0.239,0.6223958333333334,0.2268446486723948,3056.6675000009127,0.2812000166159123,384
7,easy,42,Ens_MS5_HBOS10_2_1,Ensemble,0.9495856654150971,0.35635033821063655,0.3468208092485549,0.24,0.625,0.1879583394775502,2936.028299998725,0.31880001188255847,384
7,easy,42,Ens_MS3algo,Ensemble,0.9713838851845544,0.4061358117538775,0.37716763005780346,0.261,0.6796875,0.3548100957869788,8529.254099994432,0.40210000588558614,384
7,easy,42,Ens_MS5_HBOS10_IF200,Ensemble,0.9730215607716817,0.4096185299900772,0.3800578034682081,0.263,0.6848958333333334,0.35864234316164084,10596.9017999887,0.31740000122226775,384
7,medium,42,MS_k3,MemStream_,0.9732956460219135,0.14368871421323814,0.25662482566248257,0.184,0.423963133640553,7.949249019622804,2905.849499977194,0.38120002136565745,434
7,medium,42,MS_k5,MemStream_,0.9721269232575703,0.14000383435961997,0.2510460251046025,0.18,0.4147465437788018,8.373869576454164,2787.9835999920033,0.39420000393874943,434
7,medium,42,MS_k7,MemStream_,0.9701473857256422,0.13530786673778442,0.2412831241283124,0.173,0.3986175115207373,8.742538948059085,2845.268999983091,0.2823999966494739,434
7,medium,42,MS_k10,MemStream_,0.9676925945430617,0.1299248110517851,0.23430962343096234,0.168,0.3870967741935484,9.113404331207285,2800.3700000117533,0.3658000205177814,434
7,medium,42,MS_k20,MemStream_,0.9610689239428362,0.11980662113206555,0.22315202231520223,0.16,0.3686635944700461,9.854949922561657,2903.8057000143453,0.47599998652003706,434
7,medium,42,MS_k5_diverse,MemStream_,0.9683411043438916,0.13866660764800307,0.24686192468619247,0.177,0.4078341013824885,8.299408779144299,19290.87649998837,0.35639997804537416,434
7,medium,42,MS_k5_kmeans,MemStream_,0.9709696539185886,0.14703791404862626,0.2580195258019526,0.185,0.42626728110599077,8.0553919506073,2755.3856000013184,1.0485000093467534,434
7,medium,42,MS_k5_m500,MemStream_,0.9746010420954485,0.14998056166099896,0.2594142259414226,0.186,0.42857142857142855,7.7491112112998985,7264.664499991341,0.35219997516833246,434
7,medium,42,MS_k5_wt,MemStream_,0.9729729411440337,0.14200590074492403,0.2510460251046025,0.18,0.4147465437788018,8.26019962310791,2991.287299984833,0.3279999946244061,434
7,medium,42,HBOS_b5,HBOS,0.8674853060172835,0.040509375576690654,0.08507670850767085,0.061,0.14055299539170507,1.7181154012455198,138.85990000562742,0.2882999833673239,434
7,medium,42,HBOS_b10,HBOS,0.8430931296027587,0.028421185905101322,0.1101813110181311,0.079,0.18202764976958524,2.2116779509644013,151.09609998762608,0.34389999927952886,434
7,medium,42,HBOS_b20,HBOS,0.8604338753805435,0.051169191562940856,0.1087866108786611,0.078,0.17972350230414746,2.7109698798337516,130.6765000044834,0.6849000055808574,434
7,medium,42,HBOS_b50,HBOS,0.8960280098135536,0.06960071318321451,0.14783821478382148,0.106,0.24423963133640553,3.331432548019292,175.4674999974668,0.2714000002015382,434
7,medium,42,HBOS_b100,HBOS,0.9293502499502261,0.08867025963284111,0.17852161785216178,0.128,0.29493087557603687,3.7601347984826434,168.06409999844618,0.2770000137388706,434
7,medium,42,IF_n100,sklearn_IF,0.9632701695397907,0.12431599931023565,0.23570432357043236,0.169,0.38940092165898615,0.6013843952480559,2699.4378000090364,0.35879999632015824,434
7,medium,42,IF_n200,sklearn_IF,0.9674555998498309,0.13387164851573838,0.2510460251046025,0.18,0.4147465437788018,0.5992433292406901,5318.6748000152875,0.3160000196658075,434
7,medium,42,IF_n200_mf50,sklearn_IF,0.9714287376879719,0.1422896252127899,0.2524407252440725,0.181,0.41705069124423966,0.5940271192001334,7754.33300001896,0.2961000136565417,434
7,medium,42,Ens_MS5_HBOS10,Ensemble,0.8667210727462925,0.04522616437672641,0.12691771269177127,0.091,0.20967741935483872,0.3070832867109177,2953.468599996995,0.29540000832639635,434
7,medium,42,Ens_MS5_HBOS20,Ensemble,0.8817244826804118,0.06196619197229,0.13528591352859135,0.097,0.22350230414746544,0.2510097041502101,3031.7411000141874,0.28349997592158616,434
7,medium,42,Ens_MS5_HBOS10_2_1,Ensemble,0.8833939117931995,0.055892995803103494,0.14225941422594143,0.102,0.2350230414746544,0.2242146395516332,3018.8259000133257,0.41340000461786985,434
7,medium,42,Ens_MS3algo,Ensemble,0.931697948141938,0.07288438477552657,0.16736401673640167,0.12,0.2764976958525346,0.37909164889733715,8466.018700011773,0.4268999909982085,434
7,medium,42,Ens_MS5_HBOS10_IF200,Ensemble,0.9351357076191742,0.0748652269759121,0.16875871687587168,0.121,0.27880184331797236,0.38056395261845055,10695.689399988623,0.2786999975796789,434
7,hard,42,MS_k3,MemStream_,0.9189311032610374,0.030551951092931854,0.08507570295602018,0.059,0.1524547803617571,7.79169835329056,2852.582599996822,0.3149000112898648,387
7,hard,42,MS_k5,MemStream_,0.9173776127607955,0.028782273245687853,0.0821917808219178,0.057,0.14728682170542637,8.221217780113225,2759.128799982136,0.7528999994974583,387
7,hard,42,MS_k7,MemStream_,0.9140063477609537,0.02700506057188725,0.07786589762076424,0.054,0.13953488372093023,8.56424352645874,2928.426500002388,0.41629999759607017,387
7,hard,42,MS_k10,MemStream_,0.9088494699776368,0.025143405447161475,0.07498197548666186,0.052,0.1343669250645995,8.94674888134003,3029.556599998614,0.433700013672933,387
7,hard,42,MS_k20,MemStream_,0.8973540933489248,0.021896311447641575,0.06870548806032677,0.041,0.21188630490956073,8.318961257934571,2799.0430000063498,0.764199998229742,387
7,hard,42,MS_k5_diverse,MemStream_,0.9062882155006113,0.02774717452804396,0.0754084625052367,0.045,0.23255813953488372,6.850579552650453,19827.3571000027,0.8281999907922,387
7,hard,42,MS_k5_kmeans,MemStream_,0.898597791895276,0.029027876135707946,0.08507570295602018,0.059,0.1524547803617571,7.879894690513617,2892.2784000169486,0.8107999747153372,387
7,hard,42,MS_k5_m500,MemStream_,0.9019374065043249,0.029946597392648253,0.08507570295602018,0.059,0.1524547803617571,7.598878364562994,7049.464899988379,0.5369999853428453,387
