fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
5,medium,123,CADIFEia,0.912907354683519,0.01387514520602253,0.038560411311053984,0.0225,0.1347305389221557,0.6470140765778063,1523.8761999935377,1864.8312999866903,334
5,medium,456,CADIFEia,0.9170807913886849,0.013898885492672762,0.03385472466252411,0.017555555555555557,0.47305389221556887,0.5943200569599304,1567.1150000125635,1896.468500024639,334
5,medium,789,CADIFEia,0.9200821209743626,0.014403736360715257,0.03659268146370726,0.02033333333333333,0.18263473053892215,0.6369262534536425,1702.74789998075,1980.2968000003602,334
5,medium,1024,CADIFEia,0.9133745270769851,0.012115685716420228,0.029996842437638144,0.015833333333333335,0.2844311377245509,0.6125998503663537,2110.6381000136025,1905.1150999730453,334
5,hard,42,CADIFEia,0.8540599512246765,0.00704785040525947,0.016465305249652517,0.008555555555555556,0.21813031161473087,0.5898453122213488,1928.903599997284,2209.6079000039026,353
5,hard,123,CADIFEia,0.8337134731185812,0.006248216694146329,0.01562141052147944,0.0085,0.09631728045325778,0.6265352076931029,1848.5193999949843,1942.6126000180375,353
5,hard,456,CADIFEia,0.835892630946879,0.006131726448939183,0.014678349434583989,0.007538461538461538,0.2776203966005666,0.5725276451325866,1515.5718000023626,1732.1030999883078,353
5,hard,789,CADIFEia,0.8515759919657628,0.006623616567834615,0.015068096203998842,0.0078,0.22096317280453256,0.586506538374496,1425.4322000197135,1998.5279999964405,353
5,hard,1024,CADIFEia,0.8412552971859355,0.006245879213628797,0.014166621260829293,0.007222222222222222,0.36827195467422097,0.5543776638340091,1614.2398999945726,1749.2953000182752,353
6,easy,42,CADIFEia,0.9677704773032878,0.12868395173765715,0.21613832853025935,0.15,0.3865979381443299,0.6664696741118531,1826.1040000070352,1891.3930999988224,388
6,easy,123,CADIFEia,0.9732764036457532,0.26875549976872587,0.28674351585014407,0.199,0.5128865979381443,0.6650920430668268,1704.6910999924876,1897.3506999900565,388
6,easy,456,CADIFEia,0.9722235879874999,0.08627373514702952,0.16570605187319884,0.115,0.2963917525773196,0.6666894507019109,1844.1694999928586,2005.0744000182021,388
6,easy,789,CADIFEia,0.970303613236483,0.19465341729908273,0.2579250720461095,0.179,0.46134020618556704,0.6651385971416708,1678.863299981458,1869.7266000090167,388
6,easy,1024,CADIFEia,0.9731084102127199,0.21763575245518174,0.23198847262247838,0.161,0.41494845360824745,0.6655661313606839,1301.5592000156175,1644.284100009827,388
6,medium,42,CADIFEia,0.9351792019573133,0.022568522961358646,0.05547652916073969,0.039,0.0960591133004926,0.6644134403779061,1608.010900003137,1922.4434999923687,406
6,medium,123,CADIFEia,0.9428784644651302,0.04896077508170043,0.08108108108108109,0.057,0.14039408866995073,0.6635698479989369,1859.5169000036549,1968.6329999822192,406
6,medium,456,CADIFEia,0.9448804718899564,0.02349363575097579,0.04156275976724855,0.025,0.12315270935960591,0.6533642298031226,2070.142200012924,1991.2105000112206,406
6,medium,789,CADIFEia,0.938213033048221,0.04263394606923365,0.06543385490753911,0.046,0.11330049261083744,0.6631318501892767,1791.3242000213359,1784.3291999888606,406
6,medium,1024,CADIFEia,0.9471905184272842,0.04945481657409949,0.08108108108108109,0.057,0.14039408866995073,0.6645669797183235,1913.8299000042025,1737.617600010708,406
6,hard,42,CADIFEia,0.8914202213413027,0.01118430606839818,0.03519061583577713,0.024,0.06593406593406594,0.6647276558875548,1469.4710000185296,1603.3025999786332,364
6,hard,123,CADIFEia,0.8977728889656096,0.014089316306736387,0.04252199413489736,0.029,0.07967032967032966,0.6630922627803454,1605.0162000174168,1954.7590999864042,364
6,hard,456,CADIFEia,0.9143920919590138,0.012601883880194257,0.03225806451612903,0.022,0.06043956043956044,0.6666337144286145,1584.71749999444,1968.5877000156324,364
6,hard,789,CADIFEia,0.9039095934821154,0.021386269803392602,0.045454545454545456,0.031,0.08516483516483517,0.6635542634817926,1849.7156999947038,1950.4765000019688,364
6,hard,1024,CADIFEia,0.9105270631009976,0.01723004926101772,0.04252199413489736,0.029,0.07967032967032966,0.6640845265449413,1837.1410999970976,2077.864300023066,364
7,easy,42,CADIFEia,0.9797330144711179,0.20785738657241715,0.27167630057803466,0.188,0.4895833333333333,0.6683944697967807,1684.3851000012364,1913.2618000148796,384
7,easy,123,CADIFEia,0.9773751540457678,0.17110604015740632,0.25722543352601157,0.178,0.4635416666666667,0.6668802011841106,2066.8860000150744,2022.0867000170983,384
7,easy,456,CADIFEia,0.9753537338565045,0.24246179555625016,0.25578034682080925,0.177,0.4609375,0.6699640154972516,1308.0947999842465,1614.613499987172,384
7,easy,789,CADIFEia,0.9753581433644265,0.20826542593745204,0.23554913294797689,0.163,0.4244791666666667,0.6706399405656073,1475.1083999872208,1839.5954000006896,384
7,easy,1024,CADIFEia,0.9774898795270253,0.18088019347644338,0.21242774566473988,0.147,0.3828125,0.6672860149555552,1667.224399978295,1825.0633999996353,384
7,medium,42,CADIFEia,0.9519325946520539,0.062303577382661374,0.08216926869350863,0.05,0.2304147465437788,0.6513441986089947,1609.244099992793,1808.0222999851685,434
7,medium,123,CADIFEia,0.9511074861943505,0.04880993694335157,0.06902218570254724,0.042,0.1935483870967742,0.6519737848404936,1622.2390000184532,1986.5231000003405,434
7,medium,456,CADIFEia,0.9463085356052126,0.06744792019849882,0.08368200836820083,0.06,0.1382488479262673,0.6689994418432854,1731.1500000068918,1828.2813999976497,434
