fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
9,easy,1024,CADIFEia,0.9640056030923422,0.1592121588105734,0.2109314857582755,0.137,0.4581939799331103,0.663240706779488,1707.8372999967542,1849.206200015033,299
9,medium,42,CADIFEia,0.9373411468171288,0.0201681397565064,0.0453767123287671,0.0265,0.1577380952380952,0.6471486394969451,1585.9671999933198,1692.756600008579,336
9,medium,123,CADIFEia,0.9347469671667448,0.0186877795191503,0.0479041916167664,0.032,0.0952380952380952,0.661689293630229,1511.820899992017,1835.1520999858624,336
9,medium,456,CADIFEia,0.9401198477728296,0.0203542000717638,0.0538922155688622,0.036,0.1071428571428571,0.6621404014672656,1665.2259999827947,1840.170900017256,336
9,medium,789,CADIFEia,0.940058792819556,0.0221343115254399,0.0513698630136986,0.03,0.1785714285714285,0.6444467712732976,1977.0470000221396,1956.856800010428,336
9,medium,1024,CADIFEia,0.9350959761208354,0.0243158606810585,0.0553892215568862,0.037,0.1101190476190476,0.6625394942428471,1652.9354999947827,1775.5295999813825,336
9,hard,42,CADIFEia,0.8631493759521712,0.0076068756288383,0.0192307692307692,0.0106666666666666,0.0975609756097561,0.6348771851623343,1705.7721000164747,1891.174200020032,328
9,hard,123,CADIFEia,0.8646910048332924,0.0070751850951383,0.018041237113402,0.0105,0.0640243902439024,0.6445198345706946,1651.580700010527,1719.186999980593,328
9,hard,456,CADIFEia,0.8866582964354224,0.0081224704769124,0.0197594501718213,0.0115,0.0701219512195122,0.6473859677365634,1523.5250999976415,1813.2768999785185,328
9,hard,789,CADIFEia,0.8847039174734369,0.008214017494931,0.0225903614457831,0.015,0.0457317073170731,0.6575814594931478,1763.920600002166,1898.532300023362,328
9,hard,1024,CADIFEia,0.8631610566939537,0.0073024485742298,0.0240963855421686,0.016,0.048780487804878,0.6597365846042783,1283.099000022048,1605.0045999872964,328
10,easy,42,CADIFEia,0.9757467727753372,0.1373483608679679,0.2432432432432432,0.162,0.4879518072289157,0.6586677172982133,1564.3216999887954,1535.6457000016237,332
10,easy,123,CADIFEia,0.9679565367666954,0.0831356306809146,0.1786786786786786,0.119,0.358433734939759,0.6550143585756967,1566.227400006028,1850.9975000051784,332
10,easy,456,CADIFEia,0.9718381308152256,0.1590520826218685,0.2357357357357357,0.157,0.4728915662650602,0.6600481283098355,1691.799799998989,1838.8922000012824,332
10,easy,789,CADIFEia,0.9670430022270704,0.1072693588488131,0.1756756756756756,0.117,0.3524096385542168,0.6642190021696722,1660.111400007736,1893.3264999941457,332
10,easy,1024,CADIFEia,0.97758440155236,0.1080645213579059,0.1996996996996997,0.133,0.4006024096385542,0.6569218905192452,1882.6264000090305,1831.3415000156965,332
10,medium,42,CADIFEia,0.9528772896276814,0.0301622173912251,0.0770218228498074,0.045,0.2670623145400593,0.6407638048555937,1703.6653999821283,1679.2270000150893,337
10,medium,123,CADIFEia,0.9413488731479902,0.0191909288542333,0.045549895115373,0.0253333333333333,0.2255192878338278,0.6283752927058617,1421.0093000147026,1537.85640001297,337
10,medium,456,CADIFEia,0.9456765361800806,0.0246423516294558,0.0616174582798459,0.036,0.2136498516320474,0.6425957902785964,1498.9047999843024,1737.2975000180304,337
10,medium,789,CADIFEia,0.9425867898982484,0.024160846170341,0.0599058622165169,0.035,0.2077151335311572,0.6455184867268193,1687.8087999939453,2075.1139000058174,337
10,medium,1024,CADIFEia,0.956791020763161,0.028469164466081,0.0684638425331621,0.04,0.2373887240356083,0.6392213884636522,1911.356099997647,1945.6587000167929,337
10,hard,42,CADIFEia,0.8990161510931413,0.0087245371066158,0.0209614309670206,0.0107142857142857,0.4807692307692308,0.565300351837416,1604.940399993211,1593.1476000114344,312
10,hard,123,CADIFEia,0.8831050156192377,0.0076708731170665,0.0180235409514467,0.0091875,0.4711538461538461,0.5584227425903999,1681.3677000172902,1787.8565000137314,312
10,hard,456,CADIFEia,0.8792576997038457,0.0077713199683486,0.0173814165042235,0.0089166666666666,0.3429487179487179,0.5756654245339179,1712.4566999846138,1962.3225999821443,312
10,hard,789,CADIFEia,0.8831293966022893,0.0076203356120339,0.0182926829268292,0.012,0.0384615384615384,0.6622239075279832,1407.2327000030782,1593.8745999883397,312
