timestamp,trip_count,y_true,anomaly_type,mean_ctx,std_ctx,median_ctx,mad_ctx,range_ctx,q25,q75,z_score,mad_score,knn3,knn4,knn5
2024-09-18 05:00:00,187.0,0,,277.96153846153845,87.16076250647455,266.0,82.0,267.0,194.5,360.25,-1.043606501771316,-0.6498142682227815,3.0,3.0,3.0
2024-09-18 05:30:00,403.0,0,,277.96153846153845,87.16076250647455,266.0,82.0,267.0,194.5,360.25,1.4345728275934668,1.1268930980572287,6.0,8.0,10.0
2024-09-18 06:00:00,533.0,0,,749.2692307692307,211.46786584259954,676.5,183.5,719.0,547.75,955.5,-1.0227049386310916,-0.5274628009881946,7.0,7.0,9.0
2024-09-18 06:30:00,1000.0,0,,749.2692307692307,211.46786584259954,676.5,183.5,719.0,547.75,955.5,1.1856684145360286,1.189088614074432,6.0,6.0,24.0
2024-09-18 07:00:00,1472.0,0,,1637.2115384615386,351.47985698595005,1534.0,276.5,1515.0,1401.75,1971.75,-0.47004553795366494,-0.15124205094585458,33.0,35.0,41.0
2024-09-18 07:30:00,2025.0,0,,1637.2115384615386,351.47985698595005,1534.0,276.5,1515.0,1401.75,1971.75,1.1033020920539687,1.1977394679744289,24.0,35.0,38.0
2024-09-18 08:00:00,2217.0,0,,2202.6153846153848,270.6058127926297,2269.5,137.5,1470.0,2108.75,2369.5,0.05315708201400268,-0.25753283542388516,15.0,18.0,19.0
2024-09-18 08:30:00,2547.0,0,,2202.6153846153848,270.6058127926297,2269.5,137.5,1470.0,2108.75,2369.5,1.2726430811587819,1.3612449872405359,57.0,74.0,80.0
2024-09-18 09:00:00,2607.0,0,,2345.25,178.4681478799293,2401.5,78.5,908.0,2285.75,2456.25,1.4666482680227904,1.7657051090513478,32.0,38.0,70.0
2024-09-18 09:30:00,508.9340666420998,1,point_drop,2345.25,178.4681478799293,2401.5,78.5,908.0,2285.75,2456.25,-10.289320279663869,-16.261378772489426,1455.0659333579001,1483.0659333579001,1530.0659333579001
2024-09-18 10:00:00,2531.0,0,,2382.903846153846,166.87573216380835,2400.0,98.5,830.0,2289.5,2491.5,0.8874636947923932,0.8970384719328276,7.0,14.0,24.0
2024-09-18 10:30:00,2542.0,0,,2382.903846153846,166.87573216380835,2400.0,98.5,830.0,2289.5,2491.5,0.953381008572584,0.9723623130874925,13.0,14.0,18.0
2024-09-18 11:00:00,2592.0,0,,2521.2884615384614,199.392860814491,2511.0,129.5,878.0,2420.25,2649.25,0.35463425405075094,0.42188225107921745,13.0,18.0,19.0
2024-09-18 11:30:00,2769.0,0,,2521.2884615384614,199.392860814491,2511.0,129.5,878.0,2420.25,2649.25,1.2423290254086805,1.3437730960301,62.0,66.0,67.0
2024-09-18 12:00:00,2887.0,0,,2690.2115384615386,193.5880178009338,2712.0,121.0,905.0,2591.75,2821.5,1.0165322408055921,0.9755031644778882,23.0,23.0,29.0
2024-09-18 12:30:00,2658.0,0,,2690.2115384615386,193.5880178009338,2712.0,121.0,905.0,2591.75,2821.5,-0.16639221179999739,-0.3010124050388912,21.0,27.0,34.0
2024-09-18 13:00:00,2758.0,0,,2737.846153846154,212.51636901799287,2764.0,188.5,802.0,2561.5,2907.25,0.0948343238030361,-0.021469201892386013,15.0,17.0,17.0
2024-09-18 13:30:00,2951.0,0,,2737.846153846154,212.51636901799287,2764.0,188.5,802.0,2561.5,2907.25,1.0029996612908878,0.669123458979364,15.0,16.0,43.0
2024-09-18 14:00:00,2925.0,0,,2977.423076923077,249.93547983997837,3025.0,175.5,1120.0,2800.0,3157.25,-0.2097464391791979,-0.3843252190602124,27.0,56.0,60.0
2024-09-18 14:30:00,3146.0,0,,2977.423076923077,249.93547983997837,3025.0,175.5,1120.0,2800.0,3157.25,0.6744817629658251,0.465033515062857,19.0,24.0,32.0
2024-09-18 15:00:00,3229.0,0,,3065.769230769231,246.89304873728807,3119.5,182.0,1103.0,2870.0,3276.0,0.661139590843025,0.4058062536260992,7.0,19.0,33.0
2024-09-18 15:30:00,3171.0,0,,3065.769230769231,246.89304873728807,3119.5,182.0,1103.0,2870.0,3276.0,0.42622005667919777,0.19085864896569962,33.0,36.0,39.0
2024-09-18 16:00:00,3223.0,0,,3147.519230769231,296.8010529206271,3178.5,192.0,1275.0,2927.5,3321.75,0.25431435800334434,0.15632728539403162,8.0,8.0,21.0
2024-09-18 16:30:00,3420.0,0,,3147.519230769231,296.8010529206271,3178.5,192.0,1275.0,2927.5,3321.75,0.9180586340253227,0.8483829083743514,45.0,72.0,83.0
2024-09-18 17:00:00,4107.0,0,,3544.3076923076924,371.35912218920396,3563.0,246.5,1796.0,3317.25,3814.75,1.5152241430344318,1.4885313312179627,47.0,64.0,88.0
2024-09-18 17:30:00,4195.0,0,,3544.3076923076924,371.35912218920396,3563.0,246.5,1796.0,3317.25,3814.75,1.7521915278097413,1.7293231642091036,123.0,135.0,152.0
2024-09-18 18:00:00,4338.0,0,,3737.6923076923076,405.69401781967963,3752.5,282.5,1894.0,3532.5,4084.25,1.4797055562197527,1.397926866067673,70.0,115.0,125.0
2024-09-18 18:30:00,4027.0,0,,3737.6923076923076,405.69401781967963,3752.5,282.5,1894.0,3532.5,4084.25,0.7131179647542915,0.6553901361837339,52.0,52.0,73.0
