timestamp,y_true,iforest_score,trip_count,anomaly_type
2024-07-25 14:30:00,0,-0.08867784126386635,2945.0,
2024-07-25 15:00:00,0,-0.08660080279349613,2994.0,
2024-07-25 15:30:00,0,-0.07650400907588917,2958.0,
2024-07-25 16:00:00,0,-0.06779009951711473,3085.0,
2024-07-25 16:30:00,0,-0.07202028583455078,3097.0,
2024-07-25 17:00:00,0,-0.04936617085664041,3356.0,
2024-07-25 17:30:00,0,-0.03785226556560106,3424.0,
2024-07-25 18:00:00,0,-0.02674116850381958,3582.0,
2024-07-25 18:30:00,0,-0.028737260182901014,3422.0,
2024-07-25 19:00:00,1,-0.034357887601031534,3260.0,point_drop
2024-07-25 19:30:00,0,-0.04602526993282097,2777.0,
2024-07-25 20:00:00,0,-0.05492268096026953,2816.0,
2024-07-25 20:30:00,0,-0.05551324042948824,2722.0,
2024-07-25 21:00:00,0,-0.0600422953232968,2831.0,
2024-07-25 21:30:00,0,-0.06339541918829594,3028.0,
2024-07-25 22:00:00,0,-0.07558359485562166,2900.0,
2024-07-25 22:30:00,0,-0.07579091947631961,2551.0,
2024-07-25 23:00:00,0,-0.07299738346944795,2330.0,
2024-07-25 23:30:00,0,-0.06379718677878976,2075.0,
2024-07-26 00:00:00,0,-0.04619125480492148,1458.0,
2024-07-26 00:30:00,0,-0.0371300185195661,1122.0,
2024-07-26 01:00:00,0,-0.04825521328478943,880.0,
2024-07-26 01:30:00,0,-0.06432302582071242,635.0,
2024-07-26 02:00:00,0,-0.04997673394958824,508.0,
2024-07-26 02:30:00,1,-0.05543478070024688,375.0,trend_shift
2024-07-26 03:00:00,1,-0.05265789866223369,297.0,trend_shift
2024-07-26 03:30:00,1,-0.05180490448063896,214.0,trend_shift
2024-07-26 04:00:00,0,-0.05923446168443386,208.0,
2024-07-26 04:30:00,0,-0.053772223835226673,127.0,
2024-07-26 05:00:00,0,-0.05698314810710059,225.0,
2024-07-26 05:30:00,0,-0.059539559060593494,383.0,
2024-07-26 06:00:00,0,-0.03357930771292017,507.0,
2024-07-26 06:30:00,0,-0.04917476258675535,781.0,
2024-07-26 07:00:00,0,-0.05341783386482818,945.0,
2024-07-26 07:30:00,0,-0.0548336848841916,1146.0,
2024-07-26 08:00:00,0,-0.05822151697606248,1340.0,
2024-07-26 08:30:00,0,-0.05690482219814991,1641.0,
2024-07-26 09:00:00,0,-0.05109013366291665,1648.0,
2024-07-26 09:30:00,0,-0.06195205717646146,1849.0,
